Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,eqg_yoy,eqg_effective,eqg_factor_effective,revenue_quarterly_growth,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,skip_reason
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,Israel,383970204.8,1042006128,90822552.67,224447740.8,29182571.64,60002562.16,633226934.2,2.056,2.056,12.07672,0,12.07672,1.13673,12.07672,13.1,0.09413,0.21877,2.5,1.69561,12.03125,1.05487,0.3069,0,3.337,4059,0.00082,365.20163,93201000,311031008,3.33721,318,6793091072,3756000256,978084.9308,0.199,0.04211,0.15978,1.84889,-0.75,1,1,123171154.9,43500779.33,55.15164,156.16022,105.65593,4.24865,3.90858,4.07861,ILS,0.30581,125,100,100,100,4059,1415,4448,3327.8042,21.97232,186.85512,-8.7455,1.74349,28.08757,1.32635,1.34771,0.13547,0.06568,2.32146,2.37477,0.80254,0.80606,1.34703,0.11057,2.35812,0.8143,None
TLV:DLEKG,DELEK GROUP,Energy,Israel,1685959043058,1606990775,-240692857.3,483791420,116819420,-61936718.67,1045391098,3.546,3.546,-46.40858,4.38615,121913.3023,0.43088,121913.3023,4.692,-0.28092,-0.09284,0,1.06389,4.8125,0.55128,0.05171,36.98,-141.21,15900,-0.00888,132.94646,17721300,-1659000064,-93.61616,10000000,23654830080,2874394880,-165.90001,-0.73672,-0.73672,-0.73672,0.31328,-0.75,1,1,929193491.3,209704110.7,25.45738,112.80098,69.12918,15.39001,18.25849,16.82425,ILS,0.30581,1001.37,1168.26,1251.71,834.47,15900,6130,19960,12736.412,24.83893,159.3801,-20.34068,1.41287,7.95453,1.16599,1.16696,0.98651,1.16416,0.84434,0.73254,0.69422,0.533,1.17647,1.08533,0.79844,0.62361,None
TLV:DLRL,DELEK ROYALTIES,Energy,Israel,6844406872,0,0,0,0,0,0,10.042,10.042,14.97959,0,14.97959,6.38787,14.97959,10.81,0.45998,0,0,0,0,0.27285,0.23078,0,0.49,720,0.00068,167.27438,20001000,9838000,0.49188,10000000,214771168,136623824,0.9838,-0.021,-0.021,-0.021,1.029,-0.75,1,1,19879837.29,4426933.333,10.80347,48.51466,29.65906,1.1414,0.99699,1.06919,USD,1,17.899,0,0,0,720,397.7,735,638.8049,12.71047,81.04099,-2.04082,1.91106,48.71287,1.91204,2.00699,0,0,3.06011,0.76503,0.7813,0.66289,1.96951,0.01,1.92257,0.73209,None
TLV:DLTI,DELTA ISRAEL BRAND,Consumer Cyclical,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,2.21083,0,0,0.12425,0,0,0,0,0.081,0.16012,0,0,6333,0,10000,25000000,89499000,3.57996,885,1592499968,1592499968,101128.8136,0.324,0.324,0.324,2.67,-0.75,1,1,157162866.7,37781866.67,10.1328,42.14985,26.14132,5.28342,8.28618,6.7848,USD,1,14.2,0,0,0,6333,4990,6465,5596.4614,13.16079,26.91383,-2.04176,1.82102,36.46565,1.56961,1.17536,0.06487,0.03669,3.65438,4.47009,1.24284,0.91987,1.38249,0.06078,4.07223,1.09135,None
TLV:DNA,D.N.A BIOMEDICAL S,Healthcare,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,289430494022,0,0,0,0,0,0,0,0.01,0.01,0,-0.633,140.2,-0.00451,558.1396,30826400,-19265000,-0.62495,10000000,125784392,44390016,-1.9265,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-1040466.667,-151100,1771222122,577089765921,289430494022,0.82926,1.16189,0.99557,USD,1,0,0,0,0,140.2,45,164.8,105.08252,33.41895,211.55556,-14.92718,1.58932,16.11613,3.34108,1.99901,0.09345,0.0013,0,0,0.12,0.00785,2.68004,0.05737,0.01,0.07392,None
TLV:DNYA,DNYA CEBUS,Real Estate,Israel,4125011193,0,0,0,0,0,0,0.879,0.879,12.57818,0,12.57818,0.4494,12.57818,15.119,0.03284,0,0,0,0,0.02877,0.05971,0,5.5,6797,0.00081,245.50197,30975700,156602000,5.05564,1893,4191864320,2142898944,82726.88854,0.092,0.092,0.092,1.51,-0.75,1,1,103587400,14573600,40.46693,287.6341,164.05052,5.63107,5.84375,5.73741,USD,1,96.729,0,0,0,6797,5220,7020,6064.661,12.07551,30.21073,-3.17664,1.75222,28.94244,1.26373,1.2697,0.46163,0.45675,29.60124,27.83166,1.06045,1.04854,1.27671,0.46919,28.72645,1.0645,None
TLV:DORL,DORAL GP RENEWABLE,Technology,Israel,2.57E+23,0,0,0,0,0,0,74.012,74.012,13.3082,0,13.3082,76.18913,4.43607,808.07,0.38841,0,0,0,0,0.23195,0.14513,0,1.061,1400,0.00076,828.15247,143923008,10360000,0.07198,10000000,1974115840,2032192768,1.036,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-2430857.143,-2428466.667,535796671943,537380279063,536588475503,2.53637,0.74415,1.64026,USD,1,0,0,0,0,1400,601,1825,1523.4895,-8.1057,132.94509,-23.28767,1.30556,4.9519,1.67981,2.34285,14.67274,2.71747,1.0302,2.28744,4.71246,16.73424,2.02133,8.7051,1.66882,10.73335,None
TLV:DRAL,DOR ALON ENERGY IN,Energy,Israel,2201962976,1094659189,30411397.77,232495008.7,5865721.223,18138559.5,663577098.6,1.311,1.311,19.47291,0,19.47291,0.40446,19.47291,17.22,0.02082,0.06717,2.5,0.02737,1,0.05917,0.13447,0,4.098,7905,0.00052,115.12825,15826700,65021000,4.10831,3185,4093806592,1262970624,20414.75667,-0.749,-0.1921,-0.60977,0.44023,-0.75,1,1,100862152.3,33547520.1,40.58813,122.03008,81.30911,3.39555,3.59862,3.49709,ILS,0.30581,315.922,251.924,377.885,188.943,7905,5451,8426,7706.133,2.58063,45.01926,-6.18324,1.64975,20.1607,1.3071,1.28394,0.47837,0.3811,9.28229,8.96192,0.891,0.85381,1.30552,0.43974,9.13211,0.8824,None
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,Israel,5165064437,0,0,0,0,0,0,9.929,9.929,11.2069,0,11.2069,5.07399,11.2069,14.355,0.45371,0,0,0,0,0.26926,0.16832,0,1.16,1304,0.00089,89.0228,22553500,26217000,1.16244,14,573740032,293195488,1872642.857,-0.381,-0.381,-0.381,0.669,-0.75,1,1,25820600,7229400,22.22024,79.36205,50.79115,1.29468,1.35932,1.327,USD,1,22.1695,22.1695,26.6034,35.4712,1304,910,1346,1228.2517,6.16716,43.2967,-3.12036,1.80734,34.85286,1.77551,1.74082,1.6441,0.10096,0.26323,0.17251,1.23674,1.53234,1.76816,0.88253,0.22787,1.39454,None
TLV:DSCT,ISRAEL DISCOUNT BK,Financial Services,Israel,29561861013,2571066994,384851691.3,652659702,76880634,230866162.7,1611863348,-1.816,9.61707,19.09308,10.59603,16.96882,1.89342,16.96882,67.14457,0.11909,0.37143,2.5,0.29373,2.5,0.32318,0.41894,1.51,0.838,1605,0.00052,97.09327,1164019968,975000000,0.83761,8027,15501408256,15501408256,121465.0554,-0.188,-0.12492,-0.17223,0.87777,-0.75,1,1,1756348379,815717594,8.82593,19.0034,13.91467,13.65954,14.10194,13.88074,ILS,0.30581,4.188,5.5025,7.023,5.219,1605,890.1,1631,1298.9377,23.56251,80.31682,-1.59411,1.92982,51.65284,1.07549,1.07292,0.10201,0.09303,37.0804,25.05205,0.18296,0.20148,1.08421,0.10752,31.07622,0.20222,None
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,922734194.8,71235829.92,14046994.99,18505888.28,3691167.475,8869081.233,44870859.1,4.335,4.335,18.04445,0,18.04445,2.82012,18.04445,16.732,0.18261,0.4946,2.5,3.32445,17.1875,2.07709,0.03919,0,8.008,14480,0.00055,187.40923,3866740,36180000,9.35672,42,858961664,558738176,861428.5714,0.691,-0.1153,0.48943,3.49713,-0.75,1,1,8178501.091,3523502.045,105.02678,243.78066,174.40372,1.65862,1.55045,1.60453,ILS,0.30581,200,100,200,200,14480,56.14,14480,95.6,15046.44351,25692.6612,0,2,64,1.62742,1.64505,0.68543,0.68763,8.19934,6.19881,1.29435,1.22985,1.64624,0.69653,7.20908,1.2721,None
TLV:ECP,ELECTRA CONSUMER P,Consumer Cyclical,Israel,30138909157,0,0,0,0,0,0,1.416,1.416,13.13863,0,13.13863,1.44165,13.13863,18.681,0.11108,0,0,0,0,0.07347,0.25258,0,12.84,16700,0.00077,626.95105,21991100,84582000,3.84619,1616,3644610304,3709898496,52340.34653,-0.9,-0.9,-0.9,0.15,-0.75,1,1,317617000,75019000,11.47486,48.5825,30.02868,2.86145,2.59013,2.72579,USD,1,181.892,1368.42,136.842,136.842,16700,6958,18230,12612.615,32.40712,140.0115,-8.39276,1.72853,26.67245,1.3711,1.40726,0.07565,0.06855,1.50467,1.79289,1.06425,1.11955,1.39918,0.0821,1.65878,1.1019,None
TLV:ECPA,ECOPPIA SCIENTIFIC,Technology,Israel,1.00E+50,0,0,0,0,0,0,199.29,199.29,0,0,0,4923135869,0,-68.782,0,0,0,0,0,0.01,0.4191,0,-0.51,658.4,-0.00077,631.29,100000000,-20860000,-0.2086,149,604248384,604248384,-140000,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-7855000,-2865566.667,456983504.5,9389288234,4923135869,0.24403,0.47998,0.362,USD,1,0,0,0,0,651.5,658.4,700,651.5,1.05909,0,-5.94286,0,0.001,15.14197,14.4187,3.96383,0.20958,12.40011,1.9458,16.06811,18.524,14.79033,2.09671,7.18296,17.30605,None
TLV:EDRL,EDRI-EL ISRAEL ASS,Real Estate,Israel,1.00E+50,0,0,0,0,0,0,21.353,21.353,0,0,0,6.98895,0,-38.753,-1.30403,0,0,0,0,-0.17629,0.01,0,-0.212,124.4,-0.0017,106.91376,20000000,-3976000,-0.1988,3,65105756,21309300,-1325333.333,-0.543,-0.543,-0.543,0.507,-0.75,1,1,-5132666.667,-1232300,2089585.237,148310717.7,75200151.49,2.22095,1.84425,2.0326,USD,1,25,0,0,0,124.4,1.329,189,108.64776,14.49845,9260.42137,-34.17989,1.31156,5.09016,1.51404,1.54101,7.06873,0.20342,458.68598,114.6715,0.48945,0.28819,1.53753,3.64608,286.68874,0.39882,None
TLV:EFNC,ERECH FINANCE,Financial Services,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,10000000000000,0,0,0,0,0,0,0,0.01,0.18042,0,0,7382,0,10000,2084370,0,0,10000000,159177984,159177984,0,-0.9,-0.9,-0.9,0.15,-0.75,1,1,0,0,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,0,USD,1,0,0,0,0,7382,2401,9955,7152.615,3.20701,207.45523,-25.84631,1.31877,5.26038,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,None
TLV:ELAL,EL AL ISRAEL AIRLI,Industrials,Israel,1.00E+50,1338504800,-305690933.3,111570466.7,-137099466.7,-221395200,725037633.3,4.648,4.648,-3.50195,0,-3.50195,1.24434,-3.50195,-13.08071,-0.85228,-0.46492,0,-1.78838,0,-0.75466,0.00916,0,-0.743,57.8,-0.01285,10000,1334450048,-531036992,-0.39794,1223,2896006912,775315456,-434208.4971,-0.61796,-0.61796,-0.61796,0.43204,-0.75,1,1,35418133.33,-56843733.33,81.76622,133016597.9,66508339.85,-0.01091,-19.92014,100.65526,USD,1,7.3,14,11.665,19,57.8,50.2,79,62.42727,-7.41226,15.13944,-26.83544,0.52778,0.52878,0.99972,0.94111,0.11197,0.12293,0.74527,0.37845,0.26064,0.11613,0.98042,0.12745,0.57186,0.19839,None
TLV:ELCO,ELCO LTD,Industrials,Israel,715123087.5,3120194537,72430160.68,772595590.9,19461401.82,45945781.25,1946395064,0.763,0.763,19.11276,0,19.11276,0.47179,19.11276,9.562,0.02577,0.05673,2.5,0.15804,6.25,0.1202,0.15657,0,9.941,18740,0.00053,325.83344,27367000,82786000,3.02503,11321,8414176256,5199730176,7312.60489,0.035,0.15782,0.0657,1.37852,-0.75,1,1,235686625.3,98299811.05,35.70069,85.59707,60.64888,5.97207,5.50544,5.73875,ILS,0.30581,146.161,73.0996,135,120.463,18740,10900,19100,15771.049,18.82532,71.92661,-1.88482,1.9122,48.88698,1.31758,1.34861,0.35155,0.1823,0.62449,0.67787,1.21763,1.21581,1.3431,0.27692,0.66118,1.22672,None
TLV:ELCRE,ELECTRA REAL ESTAT,Real Estate,Israel,1475788758246,43223063.08,23021172.93,13599574.57,7875300.669,15448236.8,28411318.82,14.903,14.903,23.49123,0,23.49123,14.43432,23.49123,18.528,0.6174,2.81641,6.1875,1.45741,2.5,2.12398,0.17904,0,1.71,3973,0.00043,562.054,56904700,97774000,1.71821,11,2360087040,2285861888,8888545.455,-0.176,0.35736,-0.04266,1.00734,-0.75,1,1,2833268.488,783974.516,832.99096,3010.41296,1921.70196,1.50423,1.40694,1.45559,ILS,0.30581,21.439,13.7522,75,0,3973,1285,4097,2650.5315,49.89446,209.18288,-3.0266,1.91181,48.82741,1.70474,1.76968,2.53868,2.07741,1.24761,1.27212,2.07865,1.95369,1.74721,2.31804,1.26987,2.02617,None
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,Israel,1.00E+50,0,0,0,0,0,0,0.365,0.365,3.35821,0,3.35821,0.71952,3.35821,-46.568,0.22137,0,0,0,0,0.1365,0.01,0,0.67,218,0.00307,69.06078,35824000,24799000,0.69225,10000000,40839704,80604000,2.4799,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-286400,-1492400,2905641836,20717839.68,1463179838,0.98474,0.94345,0.96409,USD,1,27.8558,27.9142,16.7485,16.7885,218,151,254,207.82727,4.8948,44.37086,-14.17323,1.30097,4.84848,2.03166,2.06987,0.09914,0.11761,3.98532,3.82659,1.48592,1.49446,2.06077,0.11837,3.91595,1.50019,None
TLV:ELLO,ELLOMAY CAPITAL LT,Technology,Israel,1.00E+50,0,0,0,0,0,0,155.025,155.025,0,0,0,105.23189,0,-418.946,-0.47973,0,0,0,0,-0.05853,0.25902,0,-0.38,9720,-4.00E-05,1030.7596,10700000,-4627000,-0.43243,18,1495217024,1014961664,-257055.5556,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-1085000,-2212466.667,2617688859698,308798557834,1463243708766,2.27567,2.44781,2.36174,USD,1,0,0,0,0,9625,9720,10000,9625,0.98701,0,-2.8,0,0.001,1.45984,1.41709,4.86487,0.02284,5.93766,5.00895,2.25251,2.27636,1.44847,2.45385,5.48331,2.27444,None
TLV:ELMR,ELMORE ELEC INSTL,Industrials,Israel,301218222.5,0,0,0,0,0,0,0.665,0.665,16.0596,0,16.0596,0.6126,16.0596,12.375,0.04705,0,0,0,0,0.03689,0.02527,0,0.604,940,0.00064,233.00504,30683300,18543000,0.60434,489,262221968,241447552,37920.2454,0.352,0.352,0.352,2.81,-0.75,1,1,16826333.33,1812466.667,15.58402,144.67685,80.13044,1.40426,1.52975,1.46701,USD,1,17,11,14,18,940,485.8,1010,705.9713,33.14989,93.49527,-6.93069,1.73293,27.082,1.7174,1.64994,0.19455,0.18648,2.05056,1.95306,1.47557,1.46972,1.69367,0.20051,2.01181,1.48264,None
TLV:ELRN,ELRON ELECTRONIC,Industrials,Israel,1.00E+50,5991800,-19223600,215600,-4312266.667,-11767933.33,3103700,125.915,125.915,-53.73896,0,-53.73896,146.59169,-53.73896,-46.15901,0,-4.35982,0,-36.18853,0,-6.40545,0.05495,0,-0.412,1218,-0.00034,858.35095,51920900,-17723000,-0.34135,13,543196096,632396544,-1363307.692,0.05056,0.05056,0.05056,1.3028,-0.75,1,1,-13343466.67,-2695666.667,67961110.78,8194411396,4131186254,0.11563,0.11263,0.11413,USD,1,50.4307,50.573,1348.5,0,1218,565,1347,1154.3545,5.51351,115.57522,-9.57684,1.67008,21.69794,12.69938,12.68164,2.95631,3.75758,7.91514,7.57386,7.39024,7.32794,12.70051,3.36694,7.7545,7.36909,None
TLV:ELSPC,ELSPEC ENGINEERING,Industrials,Israel,3759463.809,19976447.02,1680956.021,4344245.117,343302.306,1012129.163,12160346.07,1.021,1.021,20.98636,0,20.98636,1.45209,20.98636,12.093,0.069,0.20552,2.5,0.20126,2.5,0.1948,0.11354,0,0.22,449.1,0.00049,144.68819,19457800,4269000,0.2194,3119,63185896,89836664,1368.70792,-0.605,-0.10323,-0.47956,0.57044,-0.75,1,1,2840567.153,860946.893,22.24411,73.39117,47.81764,0.4193,0.36259,0.39094,ILS,0.30581,77.7068,36.2632,51.9633,83.1413,449.1,264,639,461.5895,-2.70576,70.11364,-29.71831,0.9872,0.9882,3.48353,3.77873,0.13793,0.16339,10.44397,12.20608,3.8138,4.28509,3.64113,0.16066,11.33503,4.05944,None
TLV:ELTR,ELECTRA LTD,Industrials,Israel,28850755270,2197915063,52379034.86,609856597.6,11897252.63,32138143.75,1403885830,1.009,1.009,47.64226,0,47.64226,0.91236,47.64226,17.325,0.01939,0.06038,2.5,0.04884,2.5,0.06123,0.29646,0,39.19,185150,0.00021,601.0301,3770400,149647008,39.68996,11321,7782476288,7039713792,13218.53264,0.188,-0.06523,0.12469,1.67346,-0.75,1,1,116770796.2,59009199.54,66.64745,131.88581,99.26663,4.52103,4.33002,4.42552,ILS,0.30581,1060.34,798.683,811.843,936.389,185150,140000,189000,169561.53,9.1934,32.25,-2.03704,1.84286,39.16968,1.22748,1.23632,0.26459,0.19718,0.30696,0.26963,1.27902,1.27183,1.2419,0.24088,0.2983,1.28542,None
TLV:ELWS,ELECTREON WIRELESS,Technology,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,8234223747950,0,-213.72,0,0,0,0,0,0.01,0.05963,0,-1.296,25490,-5.00E-05,1274.3096,9658460,-10745000,-1.1125,32,2112618880,2531466752,-335781.25,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-830400,849900,16468447493414,2485.72641,8234223747950,0.37767,0.27589,0.32678,USD,1,0,0,0,0,25490,14700,32780,25120.979,1.46898,73.40136,-22.23917,1.19358,2.89147,5.86504,10.76205,0.15806,0.00179,0,0,4.96319,10.71096,8.32354,0.08992,0.01,7.84708,None
TLV:EMCO,E & M COMPUTING,Technology,Israel,96782701.51,416949203.1,11777742.08,112035430.3,3108782.911,7443262.495,264492316.7,0.899,0.899,25.4382,0,25.4382,0.7132,8.4794,15.416,0.0281,0.15947,5.625,0.06758,2.5,0.12445,0.19712,0,0.89,2246,0.0004,349.86862,44319300,39531000,0.89196,1091,1265073408,1003388928,36233.73052,-0.081,0.02121,-0.05545,0.99455,-0.75,1,1,21812632.19,7501030.004,57.99728,168.65329,113.32529,1.85952,1.9065,1.88301,ILS,0.30581,20.5,7.2,31.5,21.5,2246,1179,2880,1945.4685,15.44777,90.50042,-22.01389,1.25456,3.89889,1.58506,1.56602,0.11933,0.12207,1.4324,1.30436,1.35959,1.38603,1.58554,0.1307,1.37838,1.38281,None
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,Israel,10860095.28,542660619.7,10426653.11,139626485.2,3734225.523,7080439.317,341143552.4,0.958,0.958,12.10979,0,12.10979,0.3467,12.10979,8.765,0.02863,0.04324,2.25,0.06664,2.5,0.06452,0.01,0,1.858,2205,0.00084,101.01917,27993000,52007000,1.85786,10000000,1740575744,629842496,5.2007,0.31651,0.31651,0.31651,2.63256,-0.75,1,1,53061949.37,19329312.28,32.80271,90.04851,61.42561,2.21684,2.28439,2.25061,ILS,0.30581,36.793,27.5061,33.2216,51.7972,2205,1260,2575,2167.5874,1.726,75,-14.36893,1.43726,8.81488,1.66331,1.63892,0.19926,0.21623,0.77782,0.76932,1.44611,1.4843,1.66111,0.21775,0.78357,1.4752,None
TLV:EMITF,ELBIT IMAGING LTD,Healthcare,Israel,1.00E+50,0,716003.1467,-3761.463,6661826.202,3688914.674,-1880.7315,,,0.25991684,,0.25991684,456522288.2,0.25991684,16.13242085,0,0,0,14259.39024,2.5,8148.232997,0.08833,,25.008,636.7,0.03927752474,63.254185,9190810,-165302000,-17.98557472,4,59511124,59740200,-41325500,0.7289005801,0.7289005801,0.7289005801,4.694502901,-0.75,1,1,4257079.073,-614066.48,13.97933254,913044562.5,456522288.2,-2.120518504,0.08397006167,453.2281248,ILS,0.30581,0,0,0,0,636.7,295.5,708.2,553.5839,15.01418304,115.465313,-10.09601807,1.653501333,20.43747768,7.487800943,13.00099855,0.09257768475,0.02314442119,40.59422711,72.63870232,0.4803545895,0.65895413,10.25439975,0.06786105297,56.62646471,0.5796543598,None
TLV:EMTC,ELBIT MEDICAL TECH,Healthcare,Israel,1.00E+50,0,0,0,0,0,0,1.244,1.244,2.35759,0,2.35759,1.02312,2.35759,0,0.91053,0,0,0,0,0.5303,0.01,0,0.632,146.9,0.0043,300.40323,92792496,123046000,1.32603,472,168068896,138260832,260690.678,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-598333.3333,-138533.3333,22186878116,1786103317649,904145097882,-0.38021,0.82599,21.41924,USD,1,253.777,0,0,0,146.9,80,180.9,134.39021,9.30856,83.625,-18.79491,1.32607,5.43738,1.35667,2.21874,0,0,0,0,3.81327,5.9841,1.7977,0.01,0.01,4.90868,None
TLV:ENDY,ENDYMED LTD,Healthcare,United States,9919026948,15666066.67,719266.6667,3929600,-16900,351183.3333,9797833.333,2.354,2.354,122.72728,0,122.72728,2.58541,122.72728,60.289,0.02147,0.0441,1,0.0002,1,0.04136,0.01,0,0.022,271,8.00E-05,437.60132,13736200,308000,0.02242,32,33762120,37087740,9625,-0.27806,-0.27806,-0.27806,0.77194,-0.75,1,1,1283200,765200,26.31088,44.12196,35.21642,1.01963,0.57991,0.79977,USD,1,0,0,0,0,271,2.789,502.6,283.73608,-4.48871,9616.74435,-46.08038,1.07325,1.52829,2.42745,2.73341,0.11355,0.12888,0.91872,1.10044,3.09396,3.68428,2.59043,0.13121,1.01958,3.39912,None
TLV:ENLT,ENLIGHT RENEWABLE,Technology,Israel,1.00E+50,59090198.41,-25884879.7,18845133.5,-24125269.35,-25005074.53,38967665.96,38.413,38.413,-235.44198,0,-235.44198,24.35856,-78.48066,62.824,-0.62381,-0.35049,0,-1.27353,0,-0.55044,0.63933,0,-0.193,630.4,-0.00031,449.2297,917731008,-150770000,-0.16429,67,9283985408,5887244288,-2250298.507,-0.68181,-0.68181,-0.68181,0.36819,-0.75,1,1,34019853.84,8369122.657,272.89904,1109.31406,691.10655,3.83762,3.33049,3.58405,ILS,0.30581,129.995,0,0,0,630.4,468.3,720.2,642.2518,-1.84535,34.61456,-12.46876,1.28702,4.54474,1.37833,1.42537,28.43745,8.73337,13.17422,10.49041,1.50246,1.99242,1.41185,18.59541,11.84231,1.75744,None
TLV:ENLV,ENLIVEX THERAPEUTI,Healthcare,Israel,1.00E+50,0,-9541066.667,0,-4152533.333,-6846800,0,0,0,-85.14036,-28.24779,-70.91722,905981281.5,-70.91722,-70.8037,0,0,0,0,0,0.01,0.10672,-1.13,-0.898,3123,-0.00029,1292.3076,18305800,-11824000,-0.64592,10000000,484778752,582939008,-1.1824,-0.21037,-0.21037,-0.21037,0.83963,-0.75,1,1,-8323066.667,-4136866.667,198616619,1613345944,905981281.5,0.24393,0.15359,0.19876,USD,1,0,0,0,0,3123,1548,9254,3873.8252,-19.38201,101.74419,-66.25243,0.40877,0.40977,7.36451,7.5948,0.8587,1.06064,5.06981,1.51503,7.4682,7.94847,7.48965,0.96967,3.30242,7.71833,None
TLV:ENOG,ENERGEAN PLC,Technology,United Kingdom,1.00E+50,0,0,0,0,0,0,293.738,293.738,0,0,0,230.35895,0,-493.095,0,0,0,0,0,0.01,0.46366,0,-0.52,3751,-0.00014,705.7813,177094000,-91414000,-0.51619,620,8228762624,6453275648,-147441.9355,-0.9,-0.9,-0.9,0.15,-0.75,1,1,20757133.33,4937900,396.43059,1666.44983,1031.44021,2.32115,2.84518,2.58316,USD,1,0,0,0,0,3751,1801,4544,3638.4895,3.09223,108.27318,-17.45158,1.4218,8.261,1.80198,1.49118,0.65522,0.0723,0.27299,0.19357,0.95805,0.59662,1.65658,0.37376,0.24328,0.78733,None
TLV:ENRG,ENERGIXS-RENEWABLE,Technology,Israel,1268013634,71612710.17,19343440.7,20192389.65,4907394.232,12125417.47,45902549.91,25.692,25.692,76.97531,0,76.97531,23.12446,25.65844,36.113,0.2941,9.09821,34.80469,0.611,2.5,5.42556,0.13847,0,0.162,1200,0.00014,380.76334,486832000,77209000,0.15859,66,6744872448,6070795264,1169833.333,0.083,0.19632,0.11133,1.60664,-0.75,1,1,44866302.53,13890155.24,150.3327,485.58654,317.95962,1.43222,1.33267,1.38244,ILS,0.30581,4,4,16,2,1200,1094,1699,1305.0839,-8.05189,9.68921,-29.37022,0.35041,0.35141,1.70543,1.76255,1.52442,0.3631,0.8749,0.42919,2.64596,3.81167,1.74399,0.95376,0.66204,3.23882,None
TLV:EQTL,EQUITAL,Industrials,Israel,4675644881,0,0,0,0,0,0,6.648,6.648,10.69753,0,10.69753,1.25934,10.69753,8.809,0.11773,0,0,0,0,0.07727,0.15738,0,8.143,8604,0.00095,135.97978,36891000,300419008,8.14342,434,16964209664,3213574912,692209.6959,-0.86,-0.86,-0.86,0.19,-0.75,1,1,1778860400,366512200,9.53656,46.28553,27.91104,3.97086,3.07246,3.52166,USD,1,0,0,0,0,8604,5400,9299,7979.3706,7.82805,59.33333,-7.47392,1.6435,19.70678,1.82322,1.86285,0.27874,0.17276,6.81809,6.81236,1.45332,1.27291,1.85304,0.23575,6.82523,1.37311,None
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,Israel,5074758712,4405291267,231018466.7,1252576733,56842533.33,143930500,2828934000,4.334,4.334,82.94588,65.97633,78.70349,4.22799,26.2345,41.702,0.05097,0.29736,5.625,0.2827,6.25,0.26797,0.12013,6.76,5.377,44000,0.00012,888.69403,44200200,237658000,5.37685,16676,20207407104,19713288192,14251.49916,0.317,0.01554,0.24164,2.25818,-0.75,1,1,166774066.7,98345000,121.16636,205.47468,163.32052,2.49683,2.54303,2.51993,USD,1,44,44,44,44,44000,37500,52500,43472.38,1.21369,17.33333,-16.19048,0.86667,0.86767,1.40754,1.39661,0.0155,0.01216,0.62911,0.53732,1.17129,1.20474,1.41208,0.02383,0.59322,1.19802,None
